filename,detector,pixel_x,pixel_y,ra_deg,dec_deg
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,1327.789474,269.7018588560,66.0140378986
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,1327.789474,269.6864676092,66.0140424454
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,1532.421053,269.9792904434,66.0201439848
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,1532.421053,269.9638568463,66.0201441488
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,1532.421053,269.9484234472,66.0201445554
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,1532.421053,269.9329906401,66.0201451683
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,1532.421053,269.9175587505,66.0201459595
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,1532.421053,269.9021280444,66.0201469081
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,1532.421053,269.8866987362,66.0201480004
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,1532.421053,269.8712709979,66.0201492290
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,1532.421053,269.8558449671,66.0201505926
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,1532.421053,269.8404207556,66.0201520952
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,1532.421053,269.8249984582,66.0201537459
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,1532.421053,269.8095781610,66.0201555583
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,1532.421053,269.7941599500,66.0201575501
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,1532.421053,269.7787439195,66.0201597423
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,1532.421053,269.7633301808,66.0201621593
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,1532.421053,269.7479188708,66.0201648280
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,1532.421053,269.7325101603,66.0201677775
